02/12 17:22:02 FINE aw.TACAgent|Log for game 78 started
************************************************************
* Log for game 78 started
************************************************************


02/12 17:22:03 FINE aw.TACAgent|Starting up game: 78
02/12 17:22:03 FINE aw.PostTraumaticAgent|Game 78 started!
02/12 17:22:03 FINE aw.PostTraumaticAgent|Printing Client Preferences
02/12 17:22:03 FINE aw.PostTraumaticAgent|Client 1 : [1, 5, 76, 192, 194, 3]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Client 2 : [2, 4, 130, 170, 120, 193]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Client 3 : [2, 4, 90, 94, 112, 191]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Client 4 : [3, 4, 81, 163, 189, 131]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Client 5 : [1, 4, 80, 67, 105, 191]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Client 6 : [4, 5, 81, 85, 1, 56]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Client 7 : [2, 3, 150, 179, 89, 146]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Client 8 : [2, 3, 53, 144, 42, 43]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Finish Printing Client Preferences
02/12 17:22:03 FINE aw.PostTraumaticAgent|Flight Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:03 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65368 auction=9 state=valid
02/12 17:22:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65369 auction=12 state=valid
02/12 17:22:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65370 auction=13 state=valid
02/12 17:22:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65371 auction=14 state=valid
02/12 17:22:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65372 auction=15 state=valid
02/12 17:22:13 FINE aw.PostTraumaticAgent|Flight Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:13 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:13 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:23 FINE aw.PostTraumaticAgent|Flight Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:23 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:23 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:34 FINE aw.PostTraumaticAgent|Flight Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:34 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:34 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:43 FINE aw.PostTraumaticAgent|Flight Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:43 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:43 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65368 auction=9 state=valid
02/12 17:22:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65369 auction=12 state=valid
02/12 17:22:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65370 auction=13 state=valid
02/12 17:22:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65371 auction=14 state=valid
02/12 17:22:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65372 auction=15 state=valid
02/12 17:22:53 FINE aw.PostTraumaticAgent|Flight Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:53 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:22:53 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:00 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:23:00 FINE aw.PostTraumaticAgent|Quote for auction: Cheap Hotel 2 has HQW ? false, HQW:-1
02/12 17:23:00 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:-1
02/12 17:23:00 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:-1
02/12 17:23:00 FINE aw.PostTraumaticAgent|Bid Updated: id=65373 auction=9 state=valid
02/12 17:23:00 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:-1
02/12 17:23:00 FINE aw.PostTraumaticAgent|Bid Updated: id=65374 auction=12 state=valid
02/12 17:23:00 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 4 has HQW ? false, HQW:-1
02/12 17:23:00 FINE aw.PostTraumaticAgent|Bid Updated: id=65375 auction=13 state=valid
02/12 17:23:00 FINE aw.PostTraumaticAgent|Bid Updated: id=65376 auction=14 state=valid
02/12 17:23:00 FINE aw.PostTraumaticAgent|Bid Updated: id=65377 auction=15 state=valid
02/12 17:23:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? true, HQW:2
02/12 17:23:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? true, HQW:5
02/12 17:23:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? true, HQW:5
02/12 17:23:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 4 has HQW ? true, HQW:2
02/12 17:23:03 FINE aw.PostTraumaticAgent|Flight Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:03 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:03 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:03 FINE aw.PostTraumaticAgent|Hotel auction Cheap Hotel 2 closed!
02/12 17:23:03 FINE aw.PostTraumaticAgent|              and of course it was not added before in the closed list, right? true
02/12 17:23:03 FINE aw.PostTraumaticAgent|Old allocation: 1
02/12 17:23:03 FINE aw.PostTraumaticAgent|New allocation: 0
02/12 17:23:03 FINE aw.PostTraumaticAgent|Own: 1
02/12 17:23:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65378 auction=12 state=valid
02/12 17:23:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65379 auction=13 state=valid
02/12 17:23:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65380 auction=14 state=valid
02/12 17:23:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65381 auction=15 state=valid
02/12 17:23:13 FINE aw.PostTraumaticAgent|Flight Owns: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:13 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 0]
02/12 17:23:13 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 1, 0, 0, 0, 1, 0, 0]
02/12 17:23:13 FINE aw.PostTraumaticAgent|Bid Updated: id=65490 auction=1 state=transacted
02/12 17:23:13 FINE aw.PostTraumaticAgent|Bid Updated: id=65491 auction=5 state=transacted
02/12 17:23:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65378 auction=12 state=valid
02/12 17:23:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65379 auction=13 state=valid
02/12 17:23:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65380 auction=14 state=valid
02/12 17:23:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65381 auction=15 state=valid
02/12 17:23:23 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 0, 0, 1, 0, 0]
02/12 17:23:23 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 0]
02/12 17:23:23 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:34 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 0, 0, 1, 0, 0]
02/12 17:23:34 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 0]
02/12 17:23:34 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:44 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 0, 0, 1, 0, 0]
02/12 17:23:44 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 0]
02/12 17:23:44 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:49 FINE aw.PostTraumaticAgent|Bid Updated: id=65378 auction=12 state=valid
02/12 17:23:49 FINE aw.PostTraumaticAgent|Bid Updated: id=65379 auction=13 state=valid
02/12 17:23:49 FINE aw.PostTraumaticAgent|Bid Updated: id=65380 auction=14 state=valid
02/12 17:23:49 FINE aw.PostTraumaticAgent|Bid Updated: id=65381 auction=15 state=valid
02/12 17:23:53 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 0, 0, 1, 0, 0]
02/12 17:23:53 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 0]
02/12 17:23:53 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:23:59 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:23:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:2
02/12 17:23:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:5
02/12 17:23:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:5
02/12 17:23:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65492 auction=12 state=valid
02/12 17:23:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 4 has HQW ? false, HQW:2
02/12 17:23:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65493 auction=13 state=valid
02/12 17:23:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65494 auction=14 state=valid
02/12 17:23:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65495 auction=15 state=valid
02/12 17:24:01 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:24:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:2
02/12 17:24:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:5
02/12 17:24:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:5
02/12 17:24:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65496 auction=12 state=valid
02/12 17:24:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 4 has HQW ? false, HQW:2
